gs,bm,bbp,Algorithm,Synthesis Time (ps)
10,10,0.2,random,8793562491
10,10,0.2,greedy,8793562491
10,10,0.2,multiple_5,8793562491
10,10,0.3,random,5474249995
10,10,0.3,greedy,5474249995
10,10,0.3,multiple_5,4889812496
10,50,0.2,random,8793562491
10,50,0.2,greedy,8793562491
10,50,0.2,multiple_5,8793562491
10,50,0.3,random,7836531242
10,50,0.3,greedy,7836531242
10,50,0.3,multiple_5,7836531242
5,10,0.2,random,392625000
5,10,0.2,greedy,392625000
5,10,0.2,multiple_5,392625000
5,10,0.3,random,3908249996
5,10,0.3,greedy,3908249996
5,10,0.3,multiple_5,3908249996
5,50,0.2,random,80125000
5,50,0.2,greedy,80125000
5,50,0.2,multiple_5,80125000
5,50,0.3,random,3908249996
5,50,0.3,greedy,3908249996
5,50,0.3,multiple_5,3908249996
