16
Src,Dest,Latency (ns),Bandwidth (GB/s)
0,1,500,50
1,0,500,50
1,2,500,50
2,1,500,50
2,3,500,50
3,2,500,50
3,4,500,50
4,3,500,50
4,5,500,50
5,4,500,50
5,6,500,50
6,5,500,50
6,7,500,50
7,6,500,50
7,8,500,50
8,7,500,50
8,9,500,50
9,8,500,50
9,10,500,50
10,9,500,50
10,11,500,50
11,10,500,50
11,12,500,50
12,11,500,50
12,13,500,50
13,12,500,50
13,14,500,50
14,13,500,50
14,15,500,50
15,14,500,50
15,0,500,50
0,15,500,50
0,2,500,2.0
2,0,500,2.0
0,3,500,2.0
3,0,500,2.0
0,4,500,2.0
4,0,500,2.0
0,5,500,2.0
5,0,500,2.0
0,6,500,2.0
6,0,500,2.0
0,7,500,2.0
7,0,500,2.0
0,8,500,2.0
8,0,500,2.0
0,9,500,2.0
9,0,500,2.0
0,10,500,2.0
10,0,500,2.0
0,11,500,2.0
11,0,500,2.0
0,12,500,2.0
12,0,500,2.0
0,13,500,2.0
13,0,500,2.0
0,14,500,2.0
14,0,500,2.0
0,15,500,2.0
15,0,500,2.0
1,3,500,2.0
3,1,500,2.0
1,4,500,2.0
4,1,500,2.0
1,5,500,2.0
5,1,500,2.0
1,6,500,2.0
6,1,500,2.0
1,7,500,2.0
7,1,500,2.0
1,8,500,2.0
8,1,500,2.0
1,9,500,2.0
9,1,500,2.0
1,10,500,2.0
10,1,500,2.0
1,11,500,2.0
11,1,500,2.0
1,12,500,2.0
12,1,500,2.0
1,13,500,2.0
13,1,500,2.0
1,14,500,2.0
14,1,500,2.0
1,15,500,2.0
15,1,500,2.0
2,0,500,2.0
0,2,500,2.0
2,4,500,2.0
4,2,500,2.0
2,5,500,2.0
5,2,500,2.0
2,6,500,2.0
6,2,500,2.0
2,7,500,2.0
7,2,500,2.0
2,8,500,2.0
8,2,500,2.0
2,9,500,2.0
9,2,500,2.0
2,10,500,2.0
10,2,500,2.0
2,11,500,2.0
11,2,500,2.0
2,12,500,2.0
12,2,500,2.0
2,13,500,2.0
13,2,500,2.0
2,14,500,2.0
14,2,500,2.0
2,15,500,2.0
15,2,500,2.0
3,0,500,2.0
0,3,500,2.0
3,1,500,2.0
1,3,500,2.0
3,5,500,2.0
5,3,500,2.0
3,6,500,2.0
6,3,500,2.0
3,7,500,2.0
7,3,500,2.0
3,8,500,2.0
8,3,500,2.0
3,9,500,2.0
9,3,500,2.0
3,10,500,2.0
10,3,500,2.0
3,11,500,2.0
11,3,500,2.0
3,12,500,2.0
12,3,500,2.0
3,13,500,2.0
13,3,500,2.0
3,14,500,2.0
14,3,500,2.0
3,15,500,2.0
15,3,500,2.0
4,0,500,2.0
0,4,500,2.0
4,1,500,2.0
1,4,500,2.0
4,2,500,2.0
2,4,500,2.0
4,6,500,2.0
6,4,500,2.0
4,7,500,2.0
7,4,500,2.0
4,8,500,2.0
8,4,500,2.0
4,9,500,2.0
9,4,500,2.0
4,10,500,2.0
10,4,500,2.0
4,11,500,2.0
11,4,500,2.0
4,12,500,2.0
12,4,500,2.0
4,13,500,2.0
13,4,500,2.0
4,14,500,2.0
14,4,500,2.0
4,15,500,2.0
15,4,500,2.0
5,0,500,2.0
0,5,500,2.0
5,1,500,2.0
1,5,500,2.0
5,2,500,2.0
2,5,500,2.0
5,3,500,2.0
3,5,500,2.0
5,7,500,2.0
7,5,500,2.0
5,8,500,2.0
8,5,500,2.0
5,9,500,2.0
9,5,500,2.0
5,10,500,2.0
10,5,500,2.0
5,11,500,2.0
11,5,500,2.0
5,12,500,2.0
12,5,500,2.0
5,13,500,2.0
13,5,500,2.0
5,14,500,2.0
14,5,500,2.0
5,15,500,2.0
15,5,500,2.0
6,0,500,2.0
0,6,500,2.0
6,1,500,2.0
1,6,500,2.0
6,2,500,2.0
2,6,500,2.0
6,3,500,2.0
3,6,500,2.0
6,4,500,2.0
4,6,500,2.0
6,8,500,2.0
8,6,500,2.0
6,9,500,2.0
9,6,500,2.0
6,10,500,2.0
10,6,500,2.0
6,11,500,2.0
11,6,500,2.0
6,12,500,2.0
12,6,500,2.0
6,13,500,2.0
13,6,500,2.0
6,14,500,2.0
14,6,500,2.0
6,15,500,2.0
15,6,500,2.0
7,0,500,2.0
0,7,500,2.0
7,1,500,2.0
1,7,500,2.0
7,2,500,2.0
2,7,500,2.0
7,3,500,2.0
3,7,500,2.0
7,4,500,2.0
4,7,500,2.0
7,5,500,2.0
5,7,500,2.0
7,9,500,2.0
9,7,500,2.0
7,10,500,2.0
10,7,500,2.0
7,11,500,2.0
11,7,500,2.0
7,12,500,2.0
12,7,500,2.0
7,13,500,2.0
13,7,500,2.0
7,14,500,2.0
14,7,500,2.0
7,15,500,2.0
15,7,500,2.0
8,0,500,2.0
0,8,500,2.0
8,1,500,2.0
1,8,500,2.0
8,2,500,2.0
2,8,500,2.0
8,3,500,2.0
3,8,500,2.0
8,4,500,2.0
4,8,500,2.0
8,5,500,2.0
5,8,500,2.0
8,6,500,2.0
6,8,500,2.0
8,10,500,2.0
10,8,500,2.0
8,11,500,2.0
11,8,500,2.0
8,12,500,2.0
12,8,500,2.0
8,13,500,2.0
13,8,500,2.0
8,14,500,2.0
14,8,500,2.0
8,15,500,2.0
15,8,500,2.0
9,0,500,2.0
0,9,500,2.0
9,1,500,2.0
1,9,500,2.0
9,2,500,2.0
2,9,500,2.0
9,3,500,2.0
3,9,500,2.0
9,4,500,2.0
4,9,500,2.0
9,5,500,2.0
5,9,500,2.0
9,6,500,2.0
6,9,500,2.0
9,7,500,2.0
7,9,500,2.0
9,11,500,2.0
11,9,500,2.0
9,12,500,2.0
12,9,500,2.0
9,13,500,2.0
13,9,500,2.0
9,14,500,2.0
14,9,500,2.0
9,15,500,2.0
15,9,500,2.0
10,0,500,2.0
0,10,500,2.0
10,1,500,2.0
1,10,500,2.0
10,2,500,2.0
2,10,500,2.0
10,3,500,2.0
3,10,500,2.0
10,4,500,2.0
4,10,500,2.0
10,5,500,2.0
5,10,500,2.0
10,6,500,2.0
6,10,500,2.0
10,7,500,2.0
7,10,500,2.0
10,8,500,2.0
8,10,500,2.0
10,12,500,2.0
12,10,500,2.0
10,13,500,2.0
13,10,500,2.0
10,14,500,2.0
14,10,500,2.0
10,15,500,2.0
15,10,500,2.0
11,0,500,2.0
0,11,500,2.0
11,1,500,2.0
1,11,500,2.0
11,2,500,2.0
2,11,500,2.0
11,3,500,2.0
3,11,500,2.0
11,4,500,2.0
4,11,500,2.0
11,5,500,2.0
5,11,500,2.0
11,6,500,2.0
6,11,500,2.0
11,7,500,2.0
7,11,500,2.0
11,8,500,2.0
8,11,500,2.0
11,9,500,2.0
9,11,500,2.0
11,13,500,2.0
13,11,500,2.0
11,14,500,2.0
14,11,500,2.0
11,15,500,2.0
15,11,500,2.0
12,0,500,2.0
0,12,500,2.0
12,1,500,2.0
1,12,500,2.0
12,2,500,2.0
2,12,500,2.0
12,3,500,2.0
3,12,500,2.0
12,4,500,2.0
4,12,500,2.0
12,5,500,2.0
5,12,500,2.0
12,6,500,2.0
6,12,500,2.0
12,7,500,2.0
7,12,500,2.0
12,8,500,2.0
8,12,500,2.0
12,9,500,2.0
9,12,500,2.0
12,10,500,2.0
10,12,500,2.0
12,14,500,2.0
14,12,500,2.0
12,15,500,2.0
15,12,500,2.0
13,0,500,2.0
0,13,500,2.0
13,1,500,2.0
1,13,500,2.0
13,2,500,2.0
2,13,500,2.0
13,3,500,2.0
3,13,500,2.0
13,4,500,2.0
4,13,500,2.0
13,5,500,2.0
5,13,500,2.0
13,6,500,2.0
6,13,500,2.0
13,7,500,2.0
7,13,500,2.0
13,8,500,2.0
8,13,500,2.0
13,9,500,2.0
9,13,500,2.0
13,10,500,2.0
10,13,500,2.0
13,11,500,2.0
11,13,500,2.0
13,15,500,2.0
15,13,500,2.0
14,0,500,2.0
0,14,500,2.0
14,1,500,2.0
1,14,500,2.0
14,2,500,2.0
2,14,500,2.0
14,3,500,2.0
3,14,500,2.0
14,4,500,2.0
4,14,500,2.0
14,5,500,2.0
5,14,500,2.0
14,6,500,2.0
6,14,500,2.0
14,7,500,2.0
7,14,500,2.0
14,8,500,2.0
8,14,500,2.0
14,9,500,2.0
9,14,500,2.0
14,10,500,2.0
10,14,500,2.0
14,11,500,2.0
11,14,500,2.0
14,12,500,2.0
12,14,500,2.0
15,0,500,2.0
0,15,500,2.0
15,1,500,2.0
1,15,500,2.0
15,2,500,2.0
2,15,500,2.0
15,3,500,2.0
3,15,500,2.0
15,4,500,2.0
4,15,500,2.0
15,5,500,2.0
5,15,500,2.0
15,6,500,2.0
6,15,500,2.0
15,7,500,2.0
7,15,500,2.0
15,8,500,2.0
8,15,500,2.0
15,9,500,2.0
9,15,500,2.0
15,10,500,2.0
10,15,500,2.0
15,11,500,2.0
11,15,500,2.0
15,12,500,2.0
12,15,500,2.0
15,13,500,2.0
13,15,500,2.0
