group_size,bad_magnitude,algorithm,synthesis_time_ps
16,10.0,random,195812500
16,10.0,greedy,195812500
16,10.0,multiple_5,195812500
16,25.0,random,300468750
16,25.0,greedy,300468750
16,25.0,multiple_5,300468750
16,5.0,random,98156250
16,5.0,greedy,98156250
16,5.0,multiple_5,98156250
16,50.0,random,300468750
16,50.0,greedy,300468750
16,50.0,multiple_5,300468750
24,10.0,random,195812500
24,10.0,greedy,195812500
24,10.0,multiple_5,195812500
24,25.0,random,460718750
24,25.0,greedy,460718750
24,25.0,multiple_5,460718750
24,5.0,random,98156250
24,5.0,greedy,98156250
24,5.0,multiple_5,98156250
24,50.0,random,460718750
24,50.0,greedy,460718750
24,50.0,multiple_5,460718750
32,10.0,random,195812500
32,10.0,greedy,195812500
32,10.0,multiple_5,195812500
32,25.0,random,488781249
32,25.0,greedy,488781249
32,25.0,multiple_5,488781249
32,5.0,random,98156250
32,5.0,greedy,98156250
32,5.0,multiple_5,98156250
32,50.0,random,620968750
32,50.0,greedy,620968750
32,50.0,multiple_5,620968750
40,10.0,random,195812500
40,10.0,greedy,195812500
40,10.0,multiple_5,195812500
40,25.0,random,488781249
40,25.0,greedy,488781249
40,25.0,multiple_5,488781249
40,5.0,random,98156250
40,5.0,greedy,98156250
40,5.0,multiple_5,98156250
40,50.0,random,781218750
40,50.0,greedy,781218750
40,50.0,multiple_5,781218750
48,10.0,random,195812500
48,10.0,greedy,195812500
48,10.0,multiple_5,195812500
48,25.0,random,488781249
48,25.0,greedy,488781249
48,25.0,multiple_5,488781249
48,5.0,random,98156250
48,5.0,greedy,98156250
48,5.0,multiple_5,98156250
48,50.0,random,941468750
48,50.0,greedy,941468750
48,50.0,multiple_5,941468750
8,10.0,random,140218750
8,10.0,greedy,140218750
8,10.0,multiple_5,140218750
8,25.0,random,140218750
8,25.0,greedy,140218750
8,25.0,multiple_5,140218750
8,5.0,random,98156250
8,5.0,greedy,98156250
8,5.0,multiple_5,98156250
8,50.0,random,140218750
8,50.0,greedy,140218750
8,50.0,multiple_5,140218750
