gs,bm,bbp,Algorithm,Synthesis Time (ps)
10,10,0.2,random,6156843744
10,10,0.2,greedy,6156843744
10,10,0.2,multiple_5,6156843744
10,10,0.3,random,7914656242
10,10,0.3,greedy,7914656242
10,10,0.3,multiple_5,7914656242
10,50,0.2,random,5922468744
10,50,0.2,greedy,5922468744
10,50,0.2,multiple_5,5922468744
10,50,0.3,random,6879499993
10,50,0.3,greedy,6879499993
10,50,0.3,multiple_5,6879499993
5,10,0.2,random,3908249996
5,10,0.2,greedy,3908249996
5,10,0.2,multiple_5,3908249996
5,10,0.3,random,3029343747
5,10,0.3,greedy,3029343747
5,10,0.3,multiple_5,3029343747
5,50,0.2,random,1037156249
5,50,0.2,greedy,1037156249
5,50,0.2,multiple_5,1037156249
5,50,0.3,random,1994187498
5,50,0.3,greedy,1994187498
5,50,0.3,multiple_5,1994187498
