group_size,bad_bandwidth_proportion,bad_magnitude,algorithm,synthesis_time_ps
16,0.1,10,random,7816499992
16,0.1,10,greedy,7816499992
16,0.1,10,multiple_5,7816499992
16,0.1,25,random,7816499992
16,0.1,25,greedy,7816499992
16,0.1,25,multiple_5,7816499992
16,0.1,5,random,7816499992
16,0.1,5,greedy,7816499992
16,0.1,5,multiple_5,7816499992
16,0.1,50,random,7816499992
16,0.1,50,greedy,7816499992
16,0.1,50,multiple_5,7816499992
16,0.2,10,random,9770624990
16,0.2,10,greedy,8793562491
16,0.2,10,multiple_5,7820999993
16,0.2,25,random,8793562491
16,0.2,25,greedy,9770624990
16,0.2,25,multiple_5,7821374999
16,0.2,5,random,7816499992
16,0.2,5,greedy,7816499992
16,0.2,5,multiple_5,7816499992
16,0.2,50,random,10747687489
16,0.2,50,greedy,8793562491
16,0.2,50,multiple_5,7818812497
16,0.3,10,random,8793562491
16,0.3,10,greedy,8891718741
16,0.3,10,multiple_5,7820999993
16,0.3,25,random,7816499992
16,0.3,25,greedy,7816499992
16,0.3,25,multiple_5,7816499992
16,0.3,5,random,8989374991
16,0.3,5,greedy,9770624990
16,0.3,5,multiple_5,7818499993
16,0.3,50,random,7816499992
16,0.3,50,greedy,7816499992
16,0.3,50,multiple_5,7818812497
16,0.4,10,random,8891718741
16,0.4,10,greedy,8793562491
16,0.4,10,multiple_5,7820999993
16,0.4,25,random,8793562491
16,0.4,25,greedy,8872687491
16,0.4,25,multiple_5,7821374999
16,0.4,5,random,8012312492
16,0.4,5,greedy,8012312492
16,0.4,5,multiple_5,7818499993
16,0.4,50,random,7816499992
16,0.4,50,greedy,7816499992
16,0.4,50,multiple_5,7816499992
24,0.1,10,random,11724749988
24,0.1,10,greedy,11724749988
24,0.1,10,multiple_5,11724749988
24,0.1,25,random,11724749988
24,0.1,25,greedy,11724749988
24,0.1,25,multiple_5,11724749988
24,0.1,5,random,11724749988
24,0.1,5,greedy,11724749988
24,0.1,5,multiple_5,11724749988
24,0.1,50,random,11724749988
24,0.1,50,greedy,11724749988
24,0.1,50,multiple_5,11724749988
24,0.2,10,random,13678874986
24,0.2,10,greedy,14655937485
24,0.2,10,multiple_5,11827406239
24,0.2,25,random,11724749988
24,0.2,25,greedy,11724749988
24,0.2,25,multiple_5,11724749988
24,0.2,5,random,12701812487
24,0.2,5,greedy,12701812487
24,0.2,5,multiple_5,12703812488
24,0.2,50,random,11724749988
24,0.2,50,greedy,11724749988
24,0.2,50,multiple_5,11724749988
24,0.3,10,random,13777031236
24,0.3,10,greedy,13777031236
